Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","11,057.55","11,058.05","10,882.25","10,891.60","-181.85","-1.64","6,809.31","31,149.56","12,430.50","7,511.10","-0.81","4.43"
"TATAMOTORS","103.00","114.40","102.90","111.70","7.05","6.74","1,947.66","2,165.80","201.70","63.50","-13.78","10.87"
"TITAN","1,047.00","1,094.65","1,043.00","1,077.25","38.00","3.66","76.47","824.62","1,389.95","720.90","1.89","13.61"
"TATASTEEL","364.75","376.85","362.05","371.95","5.65","1.54","111.38","414.08","506.00","250.85","-11.44","14.91"
"EICHERMOT","20,725.00","21,294.00","20,653.20","20,865.30","226.60","1.10","2.02","421.82","23,450.00","12,450.10","25.98","13.39"
"BPCL","414.00","428.25","408.15","416.95","3.15","0.76","142.34","594.10","549.00","252.00","21.33","9.68"
"LT","913.00","919.75","903.55","917.95","4.50","0.49","35.83","326.41","1,551.00","661.00","-32.41","-0.69"
"SBIN","192.00","194.60","190.05","192.30","0.85","0.44","724.58","1,396.04","351.00","149.45","-39.37","4.06"
"HCLTECH","709.10","718.00","700.55","707.70","2.50","0.35","55.46","392.43","718.00","375.25","-30.72","28.26"
"DRREDDY","4,521.05","4,670.00","4,500.00","4,530.70","9.65","0.21","24.37","1,116.24","4,670.00","2,351.20","78.81","15.83"
"WIPRO","283.00","284.80","279.50","281.40","0.45","0.16","89.09","250.88","290.80","159.40","4.07","28.46"
"SHREECEM","21,670.05","21,864.05","21,490.00","21,745.00","33.85","0.16","0.30","64.09","25,355.00","15,410.00","8.72","-4.05"
"NESTLEIND","16,528.00","16,600.00","16,350.00","16,540.00","17.80","0.11","1.16","190.87","18,369.95","11,322.45","43.24","-1.54"
"GRASIM","630.00","642.75","621.65","633.40","0.35","0.06","25.46","161.46","836.90","385.05","-18.22","3.10"
"HINDUNILVR","2,209.80","2,223.05","2,188.55","2,204.50","-5.40","-0.24","16.84","371.59","2,614.30","1,706.00","27.33","1.57"
"JSWSTEEL","221.00","225.45","218.65","219.50","-0.75","-0.34","98.67","218.72","296.75","132.50","-2.55","14.65"
"COALINDIA","129.90","129.90","128.10","128.70","-0.55","-0.43","41.02","52.91","217.55","119.20","-36.43","-3.85"
"POWERGRID","179.00","179.50","174.10","177.50","-0.80","-0.45","70.32","124.34","216.25","122.15","-17.06","2.33"
"ITC","194.00","194.00","191.90","192.95","-1.20","-0.62","132.65","255.62","270.70","134.60","-27.88","-4.90"
"ASIANPAINT","1,729.00","1,735.00","1,697.50","1,704.60","-10.90","-0.64","14.37","245.97","1,916.70","1,431.20","13.29","0.98"
"ADANIPORTS","311.00","319.55","308.65","313.00","-2.20","-0.70","24.09","75.59","428.85","203.00","-15.66","-8.96"
"ICICIBANK","346.80","349.35","340.50","343.75","-3.05","-0.88","321.20","1,105.86","552.20","268.30","-17.58","-5.58"
"INFRATEL","192.10","194.75","188.00","190.25","-1.85","-0.96","48.01","92.01","296.50","120.05","-24.19","-12.99"
"TECHM","685.95","686.95","669.55","674.50","-7.15","-1.05","30.93","209.41","845.90","471.40","7.81","23.56"
"INFY","960.00","965.40","947.45","955.30","-10.70","-1.11","84.80","809.80","986.45","509.25","24.25","30.52"
"BRITANNIA","3,827.00","3,849.90","3,768.10","3,780.00","-43.60","-1.14","3.69","140.31","4,010.00","2,100.00","45.33","6.60"
"BHARTIARTL","554.50","556.50","546.40","548.10","-6.75","-1.22","92.20","507.59","612.00","321.15","69.22","-2.15"
"HINDALCO","163.10","167.50","160.75","161.10","-2.00","-1.23","165.25","271.33","221.20","84.90","-11.85","9.18"
"CIPLA","724.00","734.20","701.00","711.15","-9.00","-1.25","125.01","896.91","734.20","355.30","38.77","13.40"
"TCS","2,290.45","2,303.85","2,230.70","2,249.00","-32.40","-1.42","40.12","905.07","2,358.00","1,506.05","3.16","7.50"
"MARUTI","6,380.00","6,437.45","6,125.05","6,172.00","-90.75","-1.45","18.37","1,147.39","7,758.70","4,001.10","10.76","6.36"
"M&M","610.00","620.50","594.20","597.00","-9.45","-1.56","50.03","303.49","625.80","245.40","8.83","19.65"
"BAJAJFINSV","6,223.00","6,223.00","6,060.00","6,105.25","-100.65","-1.62","5.10","312.47","9,950.00","3,985.30","-13.79","-1.04"
"HEROMOTOCO","2,700.00","2,769.80","2,620.75","2,632.15","-44.35","-1.66","22.82","613.45","3,022.90","1,475.00","11.13","3.32"
"NTPC","87.20","87.20","85.00","85.40","-1.60","-1.84","141.59","121.54","129.65","73.20","-32.68","-8.76"
"ULTRACEMCO","4,139.00","4,155.00","4,027.60","4,039.00","-78.30","-1.90","4.90","200.24","4,754.10","2,910.00","-4.55","3.60"
"SUNPHARMA","534.10","540.20","516.80","520.80","-10.90","-2.05","253.48","1,337.25","541.00","312.00","22.51","11.25"
"HDFC","1,781.00","1,781.95","1,730.10","1,744.00","-37.95","-2.13","46.49","816.38","2,499.90","1,473.45","-16.43","-4.97"
"BAJFINANCE","3,244.00","3,244.00","3,169.00","3,172.20","-79.10","-2.43","44.64","1,426.85","4,923.40","1,783.00","-1.55","7.39"
"BAJAJ-AUTO","2,990.00","3,069.90","2,910.00","2,927.10","-77.85","-2.59","12.46","370.22","3,315.15","1,788.65","15.35","2.99"
"HDFCBANK","1,025.95","1,026.95","993.00","1,005.90","-26.90","-2.60","158.92","1,601.10","1,305.50","738.75","-54.73","-7.26"
"ZEEL","138.75","139.70","134.65","135.00","-3.75","-2.70","147.21","201.90","376.00","114.00","-61.08","-23.03"
"GAIL","96.90","96.90","93.50","93.95","-2.70","-2.79","102.67","97.62","148.75","65.00","-26.94","-8.74"
"RELIANCE","2,051.30","2,057.00","2,003.10","2,007.65","-59.45","-2.88","215.60","4,374.66","2,198.80","866.98","70.10","15.54"
"AXISBANK","431.60","431.90","415.70","419.00","-12.65","-2.93","238.24","1,004.02","765.85","286.00","-37.40","-3.29"
"ONGC","78.35","78.50","75.55","75.75","-2.55","-3.26","118.75","90.98","149.65","50.00","-44.67","-5.84"
"IOC","88.35","88.35","85.40","85.50","-2.95","-3.34","314.46","272.80","156.00","71.15","-37.57","-0.18"
"KOTAKBANK","1,356.00","1,356.00","1,300.10","1,317.00","-48.75","-3.57","52.41","692.26","1,740.00","1,001.00","-11.95","-2.93"
"HDFCLIFE","624.00","624.00","600.50","603.90","-23.20","-3.70","36.35","220.95","647.60","340.00","23.76","9.87"
"INDUSINDBK","521.95","521.95","501.00","504.15","-19.60","-3.74","135.09","684.06","1,596.55","235.55","-63.95","2.38"
"UPL","484.00","484.90","445.20","452.50","-25.65","-5.36","144.44","658.06","617.75","240.15","-21.55","1.24"

